Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,FM 01_Invoices Revenue,FM 07_Gross Profit,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,GL Account Code
1000,Jan 2024,PD,PDN,PDND0,1370,Online,28100000,4215000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1370,Retail,1656221000,187699750,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1373,Retail,1344669000,147334850,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1376,Online,34900000,5235000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1376,Retail,774001000,116100150,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1401,Online,17900000,2685000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1401,Retail,87970000,13195500,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1402,Retail,3704000,555600,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1404,Retail,190389000,15482350,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1405,Retail,117000000,17550000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1445,Online,57560000,8634000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1445,Retail,749350740,97041111,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1447,Online,27538000,4130700,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1447,Retail,559104000,66756480,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1470,Retail,1149540,172431,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1473,Online,90062000,13509300,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1473,Retail,148298000,22244700,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1489,Retail,1833423850,225433838,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1489,Retail,,-16672500,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0052131100
1000,Jan 2024,PD,PDN,PDND0,1493,Retail,113490000,17023500,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1504,Retail,800364000,95221400,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1516,Online,144756000,21713400,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1516,Retail,496608000,48526240,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1517,Retail,875040000,71970200,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1532,Retail,34800000,5220000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1534,Online,91874000,13781100,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1534,Retail,1201061000,151557150,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1539,Retail,74405000,11160750,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1541,Retail,87220000,13083000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1548,Retail,164700000,24705000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1558,Retail,151770000,22765500,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1575,Retail,114100000,17115000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1596,Online,1339177810,124180822,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDNDM,1115,Retail,1306000,391800,ĐÁ,ĐÁ THIÊN NHIÊN,ĐÁ MÀU,0051111100
1000,Jan 2024,PD,PDN,PDNDM,1256,Retail,1160000,348000,ĐÁ,ĐÁ THIÊN NHIÊN,ĐÁ MÀU,0051111100
1000,Jan 2024,PD,PDN,PDNDM,1373,Retail,913000,273900,ĐÁ,ĐÁ THIÊN NHIÊN,ĐÁ MÀU,0051111100
1000,Jan 2024,PD,PDN,PDNDM,1447,Retail,155000,46500,ĐÁ,ĐÁ THIÊN NHIÊN,ĐÁ MÀU,0051111100
1000,Jan 2024,PD,PDN,PDNP0,1115,Retail,110000,33000,ĐÁ,ĐÁ THIÊN NHIÊN,NGỌC TRAI,0051111100
1000,Jan 2024,PD,PDT,PDTX0,1596,Retail,28000,8400,ĐÁ,ĐÁ NHÂN TẠO,XOÀN MỸ,0051111100
1000,Jan 2024,PG,PGA,PGAA0,1115,Online,49614000,12403500,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1256,Retail,10047369,2511842,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1277,Online,9453600,2363400,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1329,Retail,6398830,1599708,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1330,Online,12390300,3097575,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1373,Retail,24697200,6174300,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1376,Retail,9520000,2380000,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1473,Retail,11559007,2889752,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1493,Online,49802622,12450656,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1516,Online,12195000,3048750,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1558,Retail,9486900,2371725,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAA0,1575,Online,12500100,3125025,VÀNG,PNJ MEN,TRANG SỨC CZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1115,Online,18074730,5060924,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1115,Retail,8362000,2341360,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1255,Online,8711100,2439108,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1255,Retail,35918360,10057141,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1256,Retail,87600025,24528007,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1277,Online,18945000,5304600,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1277,Retail,144356343,40419776,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1278,Online,17575000,4921000,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1278,Retail,60889332,17049013,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1280,Online,25324000,7090720,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1280,Retail,6561000,1837080,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1294,Online,40835200,11433856,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
1000,Jan 2024,PG,PGA,PGAB0,1294,Retail,23579000,6602120,VÀNG,PNJ MEN,TRANG SỨC ECZ,0051121000
